Rating,Reviews,Size,Installs,Type,Price,Content_rating,Genres,Last_updated,Current_ver,Android_ver,Category
4.1,159.0,19000000.0,10000,2,0.0,3,84,1151,2054,10,11
3.9,967.0,14000000.0,500000,2,0.0,3,115,151,1605,10,11
4.7,87510.0,8700000.0,5000000,2,0.0,3,84,1244,34,10,11
4.5,215644.0,25000000.0,50000000,2,0.0,5,84,885,0,29,11
4.3,967.0,2800000.0,100000,2,0.0,3,99,1313,1495,3,11
4.4,167.0,5600000.0,50000,2,0.0,3,84,442,592,31,11
3.8,178.0,19000000.0,50000,2,0.0,3,84,936,1495,10,11
4.1,36815.0,29000000.0,1000000,2,0.0,3,84,1361,120,29,11
4.4,13791.0,33000000.0,1000000,2,0.0,3,84,24,1227,13,11
4.7,121.0,3100000.0,10000,2,0.0,3,99,267,1664,10,11
4.4,13880.0,28000000.0,1000000,2,0.0,3,84,1330,2078,12,11
4.4,8788.0,12000000.0,1000000,2,0.0,3,84,726,317,15,11
4.2,44829.0,20000000.0,10000000,2,0.0,5,84,358,1120,12,11
4.6,4326.0,21000000.0,100000,2,0.0,3,84,708,2078,3,11
4.4,1518.0,37000000.0,100000,2,0.0,3,84,1011,2148,31,11
3.2,55.0,2700000.0,5000,2,0.0,3,84,1167,0,29,11
4.7,3632.0,5500000.0,500000,2,0.0,3,84,726,1997,12,11
4.5,27.0,17000000.0,10000,2,0.0,3,84,92,592,31,11
4.3,194216.0,39000000.0,5000000,2,0.0,3,84,1011,297,10,11
4.6,224399.0,31000000.0,10000000,2,0.0,3,84,1246,1229,12,11
4.0,450.0,14000000.0,100000,2,0.0,3,84,235,961,12,11
4.1,654.0,12000000.0,100000,2,0.0,3,84,1350,1495,10,11
4.7,7699.0,4200000.0,500000,2,0.0,1,84,710,2552,10,11
,61.0,7000000.0,100000,2,0.0,3,9,697,2054,12,11
4.7,118.0,23000000.0,50000,2,0.0,3,84,364,2546,12,11
4.8,192.0,6000000.0,10000,2,0.0,3,84,901,1788,13,11
4.7,20260.0,25000000.0,500000,2,0.0,3,99,616,2769,10,11
4.1,203.0,6100000.0,100000,2,0.0,3,84,854,1948,10,11
3.9,136.0,4600000.0,10000,2,0.0,3,84,710,2395,31,11
4.1,223.0,4200000.0,100000,2,0.0,3,84,1310,592,31,11
4.2,1120.0,9200000.0,100000,2,0.0,3,84,710,388,10,11
4.1,227.0,5200000.0,50000,2,0.0,3,84,60,685,31,11
4.5,5035.0,11000000.0,100000,2,0.0,3,84,434,2809,15,11
4.2,1015.0,11000000.0,100000,2,0.0,3,84,553,806,12,11
4.7,353.0,4200000.0,10000,2,0.0,5,84,474,1308,12,11
3.8,564.0,9200000.0,100000,2,0.0,3,84,221,1297,12,11
4.7,8145.0,24000000.0,500000,2,0.0,3,99,462,770,3,11
4.1,36639.0,,5000000,2,0.0,3,84,546,0,23,11
4.7,158.0,11000000.0,10000,2,0.0,3,84,1158,139,10,11
4.0,591.0,9400000.0,500000,2,0.0,3,84,488,894,15,11
4.2,117.0,15000000.0,10000,2,0.0,3,84,1185,1213,10,11
4.5,176.0,10000000.0,100000,2,0.0,3,84,358,592,10,11
4.4,295221.0,,10000000,2,0.0,3,84,1246,0,0,11
3.8,2206.0,1200000.0,100000,2,0.0,3,99,585,720,12,11
4.2,26.0,12000000.0,10000,2,0.0,3,84,45,2054,12,11
4.7,174531.0,24000000.0,10000000,2,0.0,3,84,726,121,12,11
4.6,1070.0,26000000.0,100000,2,0.0,3,84,596,1308,12,11
4.2,85.0,8000000.0,100000,2,0.0,3,84,1153,1605,12,11
4.3,845.0,7900000.0,100000,2,0.0,3,84,988,592,31,11
4.2,367.0,25000000.0,100000,2,0.0,3,105,450,592,10,3
4.0,1598.0,56000000.0,1000000,2,0.0,3,105,1287,2469,12,3
3.8,284.0,57000000.0,100000,2,0.0,3,105,1287,1506,12,3
4.6,17057.0,,1000000,2,0.0,3,105,1246,0,0,3
3.9,129.0,35000000.0,100000,2,0.0,3,105,1287,1506,12,3
4.3,542.0,33000000.0,100000,2,0.0,3,105,726,961,12,3
4.9,10479.0,33000000.0,100000,2,0.0,3,105,114,620,15,3
4.4,805.0,5600000.0,50000,2,0.0,3,105,75,2304,3,3
4.2,129.0,54000000.0,100000,2,0.0,3,105,1287,1506,12,3
4.0,1403.0,201000.0,100000,2,0.0,3,105,357,2380,24,3
3.9,3971.0,3600000.0,100000,2,0.0,3,105,1246,1088,3,3
4.6,534.0,5700000.0,10000,2,0.0,3,105,655,862,10,3
4.9,7774.0,17000000.0,100000,2,0.0,3,105,267,1886,29,3
4.3,38846.0,8600000.0,1000000,2,0.0,3,105,759,2511,12,3
4.6,2431.0,2400000.0,100000,2,0.0,3,105,1189,2179,15,3
4.9,6090.0,27000000.0,100000,2,0.0,3,105,267,1886,29,3
3.9,295.0,2700000.0,10000,2,0.0,3,105,1246,1148,3,3
4.0,190.0,2500000.0,50000,2,0.0,3,105,777,592,31,3
4.3,40211.0,,5000000,2,0.0,3,105,1246,0,0,3
3.9,356.0,,100000,2,0.0,3,105,209,0,0,3
4.2,52530.0,7000000.0,5000000,2,0.0,3,105,528,2299,10,3
4.8,116986.0,35000000.0,5000000,2,0.0,3,105,462,1159,10,3
3.6,1379.0,16000000.0,500000,2,0.0,3,105,462,1744,29,3
4.2,271920.0,16000000.0,10000000,2,0.0,5,105,221,0,19,3
4.8,736.0,,100000,2,0.0,3,105,75,2592,23,3
4.8,7021.0,17000000.0,500000,2,0.0,3,105,165,801,15,3
4.6,197.0,3400000.0,50000,2,0.0,3,105,1361,139,15,3
4.5,737.0,8900000.0,100000,2,0.0,3,105,885,304,12,3
4.3,3574.0,3900000.0,1000000,2,0.0,1,105,922,1308,15,3
4.5,994.0,2900000.0,100000,2,0.0,3,105,48,1308,12,3
4.9,197136.0,38000000.0,1000000,2,0.0,3,105,1162,1546,12,3
3.9,142.0,32000000.0,50000,2,0.0,3,105,98,1639,18,3
4.4,15168.0,37000000.0,1000000,2,0.0,3,105,165,125,29,3
4.0,2155.0,15000000.0,500000,2,0.0,3,105,1246,1337,19,3
4.3,138.0,5400000.0,100000,2,0.0,3,105,782,592,10,3
3.7,5414.0,18000000.0,1000000,2,0.0,3,105,782,602,3,3
4.4,21777.0,,1000000,2,0.0,3,105,251,0,0,3
4.3,348.0,38000000.0,100000,2,0.0,3,105,75,625,31,3
3.2,250.0,1100000.0,100000,2,0.0,3,105,474,903,10,3
4.6,13372.0,,1000000,2,0.0,3,105,1011,0,0,3
4.6,7880.0,,100000,2,0.0,3,105,450,1734,0,3
